ID,Settlement,Architectural/Urban Remains,Ethnicity_A1,Ethnicity_A2,Ethnicity_B1,Ethnicity_B2,Ethnicity_C1,Ethnicity_C2,Start Date,End Date,Roman Province 1,Roman Province 2,Legal Status A,Legal Status B,Legal Status C,Via,Conventus,Mint,Excavated,Modern Place,Modern Region,Modern Province,Pleiades URI,IAPH,TM URI,Wikipedia,,,
1,Abdera,,Phoenician,Phoenician,,,Roman republican,Roman,-750,640,,Baetica,Civitas,,,,Conventus Gaditanus,VERDADERO,VERDADERO,Adra,Almeria,Andalucía,https://pleiades.stoa.org/places/265762,,http://www.trismegistos.org/place/25860,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
2,Abra,,Turdetani?,Iberian,,,Roman republican,Roman,-330,300,,Baetica,Opiddum de Tosiria?,,,,Conventus Cordubensis,VERDADERO,VERDADERO,Torredonjimeno,Jaén,Andalucía,https://pleiades.stoa.org/places/265764,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
3,Acci,Dinastic Temple with corinthian chapitel; termaet aqueductt theatret slewers,Roman,Roman,,,,,-330,300,Ulterior,Tarraconensis,Colonia Iulia Gemelia 45BCE,,,,Comventus Carthaginensis?,VERDADERO,VERDADERO,Guadix,Granada,Andalucía,https://pleiades.stoa.org/places/265765,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i196957,https://www.trismegistos.org/place/26586,https://en.wikipedia.org/wiki/Guadix,,,
4,Acinipo,Necropoleis; theatre,Oretani?,Iberian,,,Roman republican,Roman,-330,300,,Baetica,Municipium FLavium,,,,Conventus Gaditanus,VERDADERO,VERDADERO,Ronda la Vieja,Malaga,Andalucía,https://pleiades.stoa.org/places/255950,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3810,http://www.trismegistos.org/place/26423,https://es.wikipedia.org/wiki/Acinipo,,,
5,Ad Aras,,,,,,,,-30,640,,Baetica,Mansio,,,,Conventus Astigitanus/border,FALSO,,La Carlota,Cordoba,Andalucía,https://pleiades.stoa.org/places/265767,,http://www.trismegistos.org/place/33203,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
6,Ad Decumo 1,,,,,,,,,,,Baetica,Mansio,,,,,FALSO,,Ponte Mocho,Córdoba,Andalucía,,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
7,Ad Decumo 2,,,,,,,,,,,Baetica,Mansio,,,,,FALSO,,Entre Puente de Alcolea / Villafranca,Córdoba,Andalucía,,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
8,Ad Gemellas,,,,,,,,-30,640,,Baetica,Mansio,,,,Conventus Astigitanus,FALSO,,Benameji,Córdoba,Andalucía,https://pleiades.stoa.org/places/265771,,http://www.trismegistos.org/place/40883,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
9,Ad Herculem,,,,,,,,-30,640,,Baetica,Mansio,,,,Conventus Gaditanus,FALSO,,Isla Sancti Petri,Cadiz,Andalucía,https://pleiades.stoa.org/places/255953,,http://www.trismegistos.org/place/40881,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
10,Ad Lucos,,,,,,,,-330,640,,Baetica,Municipium,,,,Conventus Cordubensis,FALSO,,Montoro/ Epora,Cordoba,Andalucía,https://pleiades.stoa.org/places/265773,,http://www.trismegistos.org/place/26047,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
11,Ad Noulas,,,,,,,,,,,Baetica,Mansio,,,,,FALSO,,Entre Andujar / Bailén,Jaén,Andalucía,http://data.open.ac.uk/paula/place/ad_Noulas,,,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
12,Ad Pontem,,,,,,,,-30,640,,Baetica,Mansio,,,,Conventus Gaditanus,FALSO,,in the island of San Fernando,,Andalucía,http://pleiades.stoa.org/places/255954,,http://www.trismegistos.org/place/40882,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
13,Ad Rubras,,,,,,,,-30,640,,Baetica,Mansio,,,,Conventus Hispalensis?,FALSO,,Aljaraque/ Tharsis,Huelva,Andalucía,https://pleiades.stoa.org/places/255956,,http://www.trismegistos.org/place/40928,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
